WSAW,PO/LOT,Comment,Wafer id,TTV,Warp,Entry Warp 10mm,Entry Warp 20mm,Entry Warp 30mm,Exit Warp 10mm,Exit Warp 20mm,Exit Warp 30mm,Wav ind,Entry wav,Exit wav,Bow
WSAWB20,TSM-QC-L8H,022*28.8*RDTEST *New (P1) -687*Wire-01*0029*T035T033*22122902,PID08AB0120,10.9,11.54,1.06,-1.42,-2.69,-0.79,2.63,4,0.62,0.44,0.62,0.58
2022/12/30 12:03,PID08AB,,PID08AB0320,11.76,9.04,1.05,-1.73,-2.66,1.24,2.24,3.87,0.55,0.27,0.44,0.06
,,,PID08AB0520,12.96,7.99,-1.8,-2.65,-3.42,1.7,2.21,3.55,0.56,0.31,0.31,-0.5
,,,PID08AB0720,12.68,9.94,-1.29,-3.81,-4.77,1.79,1.88,2.49,0.57,0.36,0.22,-0.52
,,,PID08AB0920,12.87,10.01,-1.43,-4.09,-4.84,1.86,1.86,1.89,0.53,0.4,0.2,-0.76
,,,PID08AB1108,13.08,11,-1.41,-3.29,-4.22,3.09,3.09,3.09,0.59,0.29,0.45,-1.26
WSAWB20,TSN-QX-GMK,021*34.2*TM860 *New (P1) -674*Wire-03*0034*T999T999*22122803,PHC23AH0120,10.8,14.81,-1.44,-3.52,-5.49,-1.03,1.79,2.41,0.6,0.23,0.43,0.81
2022/12/29 20:14,PHC23AH,,PHC23AH0320,11.16,12.31,-1.9,-3.53,-5,-1.19,1.38,1.83,0.48,0.21,0.26,0.62
,,,PHC23AH0520,10.89,13.46,-3.28,-5.33,-7.01,-0.67,0.97,1.05,0.46,0.25,0.27,0.72
,,,PHC23AH0820,11.52,15.48,-5.8,-7.5,-9.64,-0.91,1.31,1.31,0.41,0.31,0.23,0.42
,,,PHC23AH1020,11.06,16.3,-5.89,-8.25,-10.93,2.05,2.35,2.37,0.37,0.28,0.17,0.2
,,,PHC23AH1208,11.45,13.3,-5.92,-7.4,-9.49,2.15,4.03,4.03,0.41,0.41,0.36,-0.15
WSAWB20,TSM-QY-01B,020*26.3*TM1050 *New (P1) -659*Wire-02*0048*T234T004*22122802,PAJGRAD0120,10.02,7.53,-1.07,-1.94,-1.94,0.86,3.32,3.81,0.52,0.19,0.52,1.37
2022/12/29 05:31,PAJGRAD,,PAJGRAD0220,10.04,7.19,-1.4,-1.92,-2.01,1.56,3.54,4.1,0.39,0.28,0.39,1.15
,,,PAJGRAD0420,10.22,6.68,-1.94,-2.25,-2.25,2.21,3.12,3.99,0.42,0.16,0.38,0.89
,,,PAJGRAD0620,10.24,6.66,-3.35,-3.84,-4.28,1.9,2.93,3.37,0.35,0.33,0.31,0.45
,,,PAJGRAD0820,10.63,6.95,-3.42,-3.92,-4.22,2.22,2.84,2.84,0.46,0.35,0.46,0.24
,,,PAJGRAD1008,11.38,7.04,-2.84,-2.84,-2.99,5.08,5.69,5.75,0.6,0.33,0.6,-0.24
WSAWB20,TSM-QX-20K,019*29.4*TM1050 *New (P1) -638*Wire-01*0071*T234T004*22122702,PGJYXAH0120,9.54,6.28,2.47,3.34,3.87,1.72,2.76,4.33,0.66,0.43,0.46,1.77
2022/12/28 08:38,PGJYXAH,,PGJYXAH0320,10.37,6.11,2.1,3.17,3.6,2.3,3.49,4.46,0.65,0.62,0.31,1.29
,,,PGJYXAH0520,10.1,5.14,1.15,2.22,2.96,2.26,2.86,3.72,0.48,0.25,0.23,1.03
,,,PGJYXAH0720,10.41,4.14,-1.16,1.52,1.89,2.98,3.25,3.78,0.43,0.27,0.25,0.42
,,,PGJYXAH0920,10.14,5.27,-1.25,1.43,1.75,2.86,3.7,3.7,0.51,0.35,0.51,0.23
,,,PGJYXAH1108,10.48,6.32,1.15,2.56,3.12,3.9,4.45,4.45,0.55,0.52,0.54,-0.51
WSAWB20,TSM-QX-20K,018*29.1*TM1050 *New (P1) -621*Wire-03*0016*T213T243*22122602,PJBBSAE0120,10.27,6.73,-1.59,2.09,2.4,1.13,4.11,4.79,1.01,0.24,1.01,1.19
2022/12/27 10:48,PJBBSAE,,PJBBSAE0320,10.42,5.79,-1.07,1.53,2.21,1.84,3.43,4.24,0.77,0.27,0.77,0.61
,,,PJBBSAE0520,10.63,6.21,-2.02,-2.15,-2.15,1.81,2.63,3.69,0.61,0.34,0.54,0.57
,,,PJBBSAE0720,11.07,6.91,-3.01,-3.03,-3.38,2.24,3.08,3.56,0.63,0.47,0.63,0.18
,,,PJBBSAE0920,10.32,5.72,-2.36,-2.89,-3.09,2.72,3.42,3.88,0.64,0.26,0.64,-0.01
,,,PJBBSAE1101,11.41,6.34,-2.2,-2.38,2.67,3.69,4.28,4.65,0.81,0.8,0.63,-1.07
WSAWB20,TSM-QX-20K,017*29.9*TM1050 *New (P1) -607*Wire-02*0107*T213T243*22122503,PHC21AH0120,10.57,8.69,1.39,2.24,2.43,0.83,3.52,4.43,1,0.5,0.88,0.15
2022/12/26 17:15,PHC21AH,,PHC21AH0320,10.74,8.27,-0.75,1.79,1.79,2.01,3.79,4.46,0.99,0.4,0.69,-1
,,,PHC21AH0520,10.96,7.77,-1.31,-1.47,-1.47,1.71,3.27,3.62,1.02,0.26,0.55,-1.16
,,,PHC21AH0720,10.75,8.32,-2.73,-2.73,-2.81,2.36,3.58,3.73,1.02,0.36,0.57,-1.47
,,,PHC21AH0920,11.02,8.17,-2.08,-2.08,-2.38,1.9,2.71,2.79,1.05,0.37,0.53,-1.76
,,,PHC21AH1108,11.51,8.68,-2.21,-2.21,-2.21,4.66,5.62,5.7,1.09,0.36,0.39,-2.63
WSAWB20,INF-QX-99B,016*32.5*TM860 *New (P1) -593*Wire-01*0021*T213T243*22122501,PJH0BAD0120,9.69,6.53,3.04,3.31,3.31,-0.93,2.1,2.61,0.85,0.5,0.53,2.75
2022/12/25 22:45,PJH0BAD,,PJH0BAD0320,9.98,8.13,2.11,2.61,2.61,1.64,2.22,2.74,0.69,0.42,0.35,1.87
,,,PJH0BAD0520,10.01,6.92,1.98,1.98,1.98,1.82,1.89,2.49,0.66,0.3,0.34,2.75
,,,PJH0BAD0820,9.81,8.99,0.6,-1.87,-1.87,2.28,2.41,2.41,0.68,0.31,0.53,1.58
,,,PJH0BAD1020,10.08,8.03,1.18,-1.51,-1.51,2.68,3.26,3.26,0.7,0.28,0.62,1.88
,,,PJH0BAD1208,10.61,7.01,0.69,-1.63,-1.72,3.08,3.08,3.08,0.72,0.21,0.63,-1.02
WSAWB20,TSM-QC-L8H,014*29.2*TM1050 *New (P1) -561*Wire-02*0109*T022T210*22122303,PGJYVAA0120,10,8.84,2.91,3.8,5.36,0.72,2.1,2.73,1.11,0.67,0.44,0.79
2022/12/24 10:39,PGJYVAA,,PGJYVAA0320,10.09,7.36,2.56,3.46,5.19,1.3,1.63,2.18,1.11,0.55,0.32,0.27
,,,PGJYVAA0520,10.58,7.11,2.13,3.06,4.54,2.18,2.81,3.22,1.07,0.69,0.37,-0.2
