WSAW,PO/LOT,Comment,Wafer id,TTV,Warp,Bow,Wav ind,Entry Warp 10mm,Entry Warp 20mm,Entry Warp 30mm,Exit Warp 10mm,Exit Warp 20mm,Exit Warp 30mm,Entry wav,Exit wav
WSAWB20,TSM-QC-L8H,051*30.5*TM860 *New (P1) -117*Wire-02*0073*22070303,PID8GAA0120,9.28,9.7,-0.5,1.18,1.69,-1.74,-3.96,-1.2,2.37,3.21,0.35,1.18
2022/7/4 08:24,PID8GAA,,PID8GAA0320,9.21,6.6,-0.52,0.62,1.32,-2.08,-3.01,-0.72,-0.72,2.02,0.19,0.62
,,,PID8GAA0520,9.25,5.52,-0.69,0.46,2.17,2.17,-2.92,0.64,0.83,1.33,0.28,0.29
,,,PID8GAA0820,9.12,4.19,-0.7,0.42,1.5,1.5,1.5,1.07,1.68,2,0.24,0.22
,,,PID8GAA1020,8.37,4.76,-0.55,0.47,1.72,1.72,1.97,2.39,3.65,3.95,0.26,0.37
,,,PID8GAA1201,7.83,10.39,-0.97,1.04,1.62,1.62,2.13,7.43,9.7,9.7,0.29,1.04
WSAWB20,TSM-QC-L8H,049*30.3*TM860 *New (P1) -097*Wire-02*0048*22070202,PIC4JAA0120,9.87,8.54,-0.19,1.31,1.39,-2.72,-3.75,1.17,3.63,3.81,0.39,1.31
2022/7/3 02:04,PIC4JAA,,PIC4JAA0320,8.52,6.55,-0.49,0.77,0.96,-3.06,-3.88,0.41,1,2.04,0.52,0.61
,,,PIC4JAA0520,8.69,5.73,-0.42,0.76,0.88,-2.84,-3.05,0.59,0.71,1.66,0.57,0.31
,,,PIC4JAA0820,7.57,5.64,-0.68,0.74,-0.87,-2.78,-2.78,1.77,2.23,2.9,0.49,0.45
,,,PIC4JAA1020,7.59,6.12,-0.53,0.84,-1.33,-3.3,-3.3,2.31,3.93,4.7,0.69,0.6
,,,PIC4JAA1201,7.07,8.41,-1.12,0.77,-0.81,-2.54,-2.54,7.69,8.99,10.02,0.63,0.66
WSAWB20,TSM-QC-F9S,050*26.5*TM860 *New (P1) -108*Wire-01*0072*22070301,PIB4ZAF0120,9.18,6.23,0.52,1.36,1.97,-2.21,-3.78,0.93,4.32,4.92,0.46,1.36
2022/7/3 17:08,PIB4ZAF,,PIB4ZAF0220,9.31,5.65,0.23,1.21,1.53,-2.56,-3.86,-0.86,2.93,4.13,0.55,1.21
,,,PIB4ZAF0420,8.45,4.1,0.18,0.62,1.83,-2.97,-3.62,-0.95,-1.42,1.59,0.56,0.44
,,,PIB4ZAF0620,8.18,5.06,-0.11,0.69,1.58,-2.21,-2.98,-1.02,-1.67,-1.67,0.69,0.38
,,,PIB4ZAF0820,8.1,4.78,0.43,0.71,1.83,-2.51,-2.96,-0.95,1.08,1.73,0.55,0.61
,,,PIB4ZAF1008,8.47,5.06,0.16,0.75,1.84,-2.29,-2.77,3.11,4.22,4.63,0.49,0.75
WSAWB20,TSM-QC-U6B,020*28.5*TM860 *New (P1) -084*Wire-02*0191*22070102,PID8GAE0120,8.49,8.24,0.13,1.41,2.11,-2.19,-3.3,-1.75,4.71,6.11,0.38,1.41
2022/7/2 11:30,PID8GAE,,PID8GAE0320,9.09,6.77,-0.11,0.69,2.03,-2.06,-3.16,1.32,2.04,3.99,0.36,0.69
,,,PID8GAE0520,8.45,6.82,-0.05,0.5,2.34,2.34,2.34,2.03,2.5,4.17,0.27,0.41
