WSAW,PO/LOT,Comment,Wafer id,TTV,Warp,Bow,Wav ind,Entry Warp 10mm,Entry Warp 20mm,Entry Warp 30mm,Exit Warp 10mm,Exit Warp 20mm,Exit Warp 30mm,Entry wav,Exit wav
WSAWB20,UMS-QC-QYE,051*30.4*TM900 * A-817*Wire-01*0093*T005T007*23062902,UAE8EAH0120,9.54,11.3,-1.62,1.01,1.8,2.47,-2.7,1.59,2.73,3.12,1.01,0.35
2023/6/30 14:24,UAE8EAH,,UAE8EAH0320,10.67,10.84,-1.91,0.73,1.06,1.29,-2,1.85,1.85,2.58,0.73,0.33
,,,UAE8EAH0520,9.88,10.9,-1.74,0.6,-0.67,-1.07,-1.88,2.85,2.85,2.97,0.47,0.32
,,,UAE8EAH0820,11.68,13.43,-2.04,1.08,-2.01,-3.03,-4.65,1.5,1.5,-1.81,0.46,0.46
,,,UAE8EAH1020,13.94,15.07,-2.83,1.02,-2.55,-3.91,-5.71,2.15,2.15,-3.77,0.45,0.53
,,,UAE8EAH1201,13.55,17.49,-4.97,0.84,-1.85,-3.07,-5.14,3.21,-3.4,-5.24,0.49,0.84
WSAWB20,GIE-QC-A5E,050*31.5*TM900 * A-808*Wire-03*0201*T211T202*23062902,UFABFAA0120,7.6,11.29,-2.65,0.74,1.13,-1.31,-3.12,1.23,2.81,3.64,0.73,0.22
2023/6/29 23:38,UFABFAA,,UFABFAA0320,8.66,10.55,-2.95,0.56,-0.71,-1.63,-3.26,2.08,2.11,3.54,0.53,0.31
,,,UFABFAA0520,10.73,10.7,-3.13,0.56,-1.43,-2.71,-4.08,2.13,2.13,2.58,0.42,0.43
,,,UFABFAA0820,11.48,16.1,-4.52,0.8,-3.3,-5.51,-7.14,1.69,1.69,1.69,0.4,0.37
,,,UFABFAA1020,11.94,17.09,-4.84,0.58,-3.88,-6.34,-7.91,1.86,1.86,-1.9,0.56,0.39
,,,UFABFAA1208,12.72,20.25,-6.08,0.85,-2.21,-4.6,-7.21,4.33,4.33,4.33,0.62,0.85
WSAWB20,NXC-QC-03B,049*29.6*TM900 * A-709*Wire-02*0102*T211T202*23062802,UEDCAAA0120,8.39,11.22,-1.78,0.69,0.73,-1.06,-2.18,1.29,2.46,2.9,0.21,0.45
2023/6/29 08:23,UEDCAAA,,UEDCAAA0320,9.42,10.06,-1.75,0.76,-0.95,-2.13,-2.92,1.14,1.24,2.16,0.48,0.36
,,,UEDCAAA0520,11.13,9.95,-1.08,0.88,-1.94,-3.21,-3.85,1.32,1.32,1.81,0.57,0.44
,,,UEDCAAA0720,11.79,12.02,-1.12,0.64,-3.18,-5.24,-6.25,1.54,1.54,1.54,0.59,0.41
,,,UEDCAAA0920,11.82,13.45,-2.05,0.83,-4.31,-6.36,-7.6,1.86,1.86,-2.02,0.59,0.46
,,,UEDCAAA1101,12.14,13.81,-2.51,0.79,-3.7,-5.85,-7.03,-1.16,-2.87,-3.84,0.65,0.32
WSAWB20,GIE-QC-A5E,048*25.8*Other * A-789*Wire-01*0107*T211T202*23062801,UEA93AD0120,11.82,10.07,-0.72,0.69,0.5,-0.89,-1.51,1.31,2.91,2.91,0.64,0.53
2023/6/28 17:07,UEA93AD,,UEA93AD0220,11.57,9.73,-1.53,0.72,-0.64,-1.69,-2.88,1.7,2.27,2.3,0.69,0.31
,,,UEA93AD0420,11.05,10.12,-1.15,0.89,-1.05,-2.22,-2.82,1.22,1.95,1.95,0.58,0.27
,,,UEA93AD0620,11.41,10.95,-1.03,0.94,-1.88,-3.19,-4.34,1.76,1.76,1.76,0.57,0.37
,,,UEA93AD0820,12.23,12.17,-1.26,0.68,-2.55,-4.02,-5.46,1.88,1.88,-2.59,0.5,0.56
,,,UEA93AD1008,11.9,12.18,-2.91,0.77,-2.33,-3.6,-4.83,3.44,3.49,3.49,0.6,0.77
WSAWB20,UMS-QC-07L,047*28.6*TM900 * A-782*Wire-03*0016*T011T020*23062702,UFJQ5AG0120,8.44,16.92,-0.12,1.05,1.3,-3.87,-7.02,1.3,3.24,3.63,0.82,0.31
2023/6/28 01:13,UFJQ5AG,,UFJQ5AG0320,9.35,15.27,-1.21,0.94,-1.09,-4.09,-7.36,2.31,2.97,3.47,0.62,0.24
,,,UFJQ5AG0520,9.57,17.17,-1.47,0.86,-1.87,-5.01,-8.43,2.27,2.96,2.96,0.55,0.34
,,,UFJQ5AG0720,10.09,18.28,-2.54,0.71,-2.86,-6.48,-10.31,2.13,2.46,2.49,0.44,0.3
,,,UFJQ5AG0920,10.68,19.5,-3.01,0.71,-2.95,-6.64,-9.77,2.57,3.08,3.08,0.46,0.39
,,,UFJQ5AG1108,12.09,20.77,-3.96,0.86,-1.66,-5.17,-7.97,5.91,5.91,5.91,0.56,0.58
WSAWB20,NXC-QC-03B,046*30.5*TM900 * A-771*Wire-02*0102*T011T020*23062602,UBIJHAH0120,9.74,13.67,-1.59,0.7,1.94,-2.48,-4.56,1.28,2.81,3.37,0.56,0.37
2023/6/27 09:10,UBIJHAH,,UBIJHAH0320,9.8,13.21,-2.41,0.91,-0.76,-3.66,-5.05,1.55,1.59,2.8,0.39,0.46
,,,UBIJHAH0520,9.85,12.4,-2.5,0.83,-2.26,-4.69,-5.97,1.14,1.14,1.14,0.26,0.3
,,,UBIJHAH0820,11.14,17.43,-2.98,0.86,-3.66,-7.54,-9.36,1.03,-1.07,-1.3,0.38,0.31
,,,UBIJHAH1020,10.89,16.87,-3.28,0.9,-4.13,-7.04,-8.68,2.08,2.08,2.08,0.32,0.48
,,,UBIJHAH1201,14.28,21.83,-6.31,0.99,-2.05,-5.3,-7.01,6.99,6.99,6.99,0.41,0.99
WSAWB20,UMS-QC-09F,045*27.8*TM900 * A-761*Wire-01*0202*T011T220*23062601,UFJQ0AA0120,8.9,13.88,-2.18,0.87,1.12,1.29,-2.62,1.09,2.66,3.18,0.8,0.38
2023/6/26 17:53,UFJQ0AA,,UFJQ0AA0320,9.57,14.79,-3.2,0.83,0.65,-1.04,-2.81,1.07,1.46,1.84,0.58,0.2
,,,UFJQ0AA0520,10.05,14,-3.56,0.81,-1.17,-2.23,-4.04,1.51,1.51,1.51,0.47,0.24
