A1_TTV,B1_TTV,C1_TTV,A2_TTV,B2_TTV,C2_TTV,A1_WARP,B1_WARP,C1_WARP,A2_WARP,B2_WARP,C2_WARP,A1_BOW,B1_BOW,C1_BOW,A2_BOW,B2_BOW,C2_BOW,A1_WAVI,B1_WAVI,C1_WAVI,A2_WAVI,B2_WAVI,C2_WAVI
11.79,10.4,11.19,9.54,9.28,15.06,10.89,7.74,6.27,11.3,9.7,9.25,-2.39,0.09,-0.69,-1.62,-0.5,-0.38,0.51,0.32,0.91,1.01,1.18,1.27
11.97,10.47,11.2,10.67,9.21,16.13,10.14,7.07,6.38,10.84,6.6,10.83,-1.93,-0.53,-0.84,-1.91,-0.52,0.2,0.59,0.36,0.74,0.73,0.62,1.88
11.92,10.49,11.19,9.88,9.25,16.8,8.48,6.36,6.27,10.9,5.52,10.61,-1.67,-0.58,-0.63,-1.74,-0.69,2.15,0.53,0.35,0.59,0.6,0.46,2.06
11.94,10.85,11.06,11.68,9.12,16.74,8.71,6.34,7.69,13.43,4.19,9.71,-2.25,-0.61,-0.98,-2.04,-0.7,1.53,0.7,0.42,0.63,1.08,0.42,2.09
11.56,10.32,11.33,13.94,8.37,15.94,9.46,5.1,7.98,11.29,4.76,9.82,-1.85,-0.55,-1.57,-2.83,-0.55,1.34,0.65,0.45,0.75,1.02,0.47,1.55
11.76,10.92,11.32,13.55,7.83,11.64,10.62,5.75,8.14,10.55,10.39,9.76,-3.08,-0.92,-0.25,-2.65,-0.97,1.53,0.7,0.76,1.02,0.84,1.04,0.82
12.91,10.53,11.86,7.6,9.87,11.7,14.04,10.58,8.06,10.7,8.54,10.4,-4.01,-1.17,-0.33,-2.95,-0.19,0.24,1.13,0.49,0.74,0.74,1.31,1.49
13.08,10.63,12.58,8.66,8.52,12.02,12.84,9.06,9.68,11.22,6.55,10.6,-3.61,-1.54,-0.29,-3.13,-0.49,-0.81,1.09,0.41,0.52,0.56,0.77,1.49
12.77,10.69,11.97,10.73,8.69,14.08,9.31,7.51,8.21,10.06,5.73,10.21,-1.92,-1.3,-0.19,-1.78,-0.42,0.33,1.26,0.46,0.42,0.56,0.76,1.47
12.33,10.28,12.27,11.48,7.57,13.72,10.88,7.54,10.64,9.95,5.64,9.03,-1.07,-1.22,-1.07,-1.75,-0.68,0.21,1.22,0.48,0.45,0.8,0.74,1.19
13.61,10.59,11.77,11.94,7.59,15.91,10.24,4.88,8.82,12.02,6.12,10.35,-0.42,-0.62,-1.94,-1.08,-0.53,-2.02,1.45,0.75,0.54,0.58,0.84,1.22
11.44,10.91,13.33,12.72,7.07,8.54,12.17,6.26,8.51,13.45,8.41,8.7,-1.65,-0.83,-0.81,-1.12,-1.12,1.47,1.45,0.73,0.55,0.85,0.77,1.51
12.58,10.55,12.14,8.39,9.18,9.61,13.72,11.66,8.77,13.81,6.23,8.13,-3.15,-0.74,-0.55,-2.05,0.52,0.92,1.94,0.54,0.55,0.69,1.36,1.36
12.36,10.53,12.33,9.42,9.31,11.4,16,8.76,9.45,10.07,5.65,10.38,-1.04,-0.91,-0.33,-2.51,0.23,1.07,2.14,0.44,0.57,0.76,1.21,1.61
10.9,11.18,12.59,11.13,8.45,10.55,8.04,6.75,9.77,9.73,4.1,13.7,1.96,-1.03,-0.21,-0.72,0.18,0.25,0.78,0.45,0.46,0.88,0.62,1.54
11.24,11.23,12.5,11.79,8.18,12.25,7.59,6.52,10.58,10.12,5.06,10.76,2.03,-0.99,-0.9,-1.53,-0.11,0.14,0.52,0.58,0.46,0.64,0.69,1.72
12.23,11.42,11.83,11.82,8.1,14.26,6.89,5.32,9.11,10.95,4.78,9.79,3.68,-0.32,-1.59,-1.15,0.43,0.43,0.57,0.7,0.51,0.83,0.71,1.82
10.96,11.63,12.74,12.14,8.47,9.62,6.45,5.77,6.56,12.17,5.06,7.99,2.69,-0.84,-0.16,-1.03,0.16,0.12,0.7,0.94,0.59,0.79,0.75,0.79
11.72,9.89,11.59,11.82,8.49,10.77,6.15,7.13,9.17,12.18,8.24,12.29,-0.68,-1.38,-0.1,-1.26,0.13,-0.5,0.68,0.57,0.8,0.69,1.41,0.78
10.56,9.99,12.48,11.57,9.09,11.94,7.6,7.37,6.89,13.67,6.77,13.74,-1.1,-2.09,-0.55,-2.91,-0.11,-0.28,0.69,0.45,0.78,0.72,0.69,0.97
10.71,10.56,12.38,11.05,8.45,13.48,9,7.22,7.46,13.21,6.82,13.26,-1.35,-2.25,-0.32,-0.12,-0.05,-1.37,0.87,0.38,0.4,0.89,0.5,1.12
10.41,10.46,12.38,11.41,8.65,13.41,7.88,8.47,8.77,12.4,6.24,11.72,-1.37,-3.01,-0.82,-1.21,0.02,0.99,0.64,0.42,0.55,0.94,0.49,0.86
11.14,10.65,12.26,12.23,7.26,13.29,7.59,8.44,7.02,13.88,8.14,10.1,-0.95,-3.01,-1.57,-1.47,0.17,0.5,0.67,0.47,0.47,0.68,0.7,1.17
8.14,11.09,12.77,11.9,7.96,15.43,7.76,8.56,7.59,14,11.27,10.36,-0.26,-3.19,-0.23,-2.54,-0.42,-0.29,0.56,0.57,0.59,0.77,0.92,0.74
7.92,10.98,11.86,8.44,8.63,14.79,6.08,12.15,11.02,13.42,7.8,8.81,-0.44,-0.07,-1.02,-3.01,0.48,-0.4,0.62,0.6,1.3,1.05,0.99,0.8
8.17,10.37,11.47,9.35,8.65,13.78,7.42,11.97,13.01,12.98,7.85,10.56,-0.92,-1.02,-0.62,-1.59,0.19,-0.41,0.68,0.51,1.19,0.94,0.79,0.65
8.12,10.71,12.94,9.57,8.62,13.93,17.19,10.51,13.35,13,6.01,10.65,-1.23,-1.48,-0.66,-2.41,-0.26,-0.05,0.67,0.44,1.47,0.86,1,0.63
7.88,11.03,10.8,10.09,8.45,14.19,17.76,12.28,11.93,12.17,6.79,9.45,-1.27,-1.87,-0.14,-2.5,0.39,-0.22,0.76,0.5,1.69,0.71,0.76,0.62
7.24,10.92,10.85,10.68,8.33,12.51,14.01,10.83,11.07,12.33,6.94,7.51,-1.14,-2.17,-0.2,-2.98,0.06,0.43,0.82,0.57,0.99,0.71,0.88,0.67
12.7,12.63,10.95,12.09,7.44,12.74,15.03,10.68,11.46,13.77,7.79,7.25,-1.56,-1.66,1.3,-3.28,0.68,0.22,0.78,0.79,0.85,0.86,0.68,0.51
13.13,10.64,13.57,9.74,9.67,13.04,13.76,14.37,7.44,12.31,7.36,6.76,0.25,-1.25,1.32,-2.18,0.39,0.18,0.83,0.71,1.35,0.7,1.01,0.53
13.12,9.8,9.37,9.8,8.46,12.95,14.2,14.73,6.61,12.92,5.91,7.25,-0.4,-1.99,-0.13,-3.2,0.1,-0.23,1.15,0.59,1.26,0.91,0.51,0.47
